role,seniority,seniority_level,workplace,loc_factor,required_exp,candidate_exp,exp_gap,n_required,n_matched,n_missing,match_ratio,n_extra_skills,avg_skill_demand,salary_expected,salary_gap_ratio,workplace_match,job_salary,fit
Backend Node.js,Junior,1,REMOTE,1.0,0,3,3,5,2,3,0.4,2,0.99,6100.0,-0.2469,1,8100.0,0
Fullstack,Pleno,2,ONSITE,1.1,4,2,-2,5,4,1,0.8,0,0.99,19300.0,0.0321,1,18700.0,1
Fullstack,Pleno,2,HYBRID,1.05,5,4,-1,5,3,2,0.6,2,0.99,15900.0,0.0063,0,15800.0,0
Frontend React,Senior,3,ONSITE,1.1,6,7,1,5,2,3,0.4,0,0.97,15500.0,-0.1755,1,18800.0,0
Backend Node.js,Junior,1,REMOTE,1.0,0,2,2,5,4,1,0.8,2,0.99,7900.0,-0.1023,0,8800.0,1
Backend Node.js,Pleno,2,REMOTE,1.0,4,7,3,5,4,1,0.8,0,0.99,15700.0,0.0828,1,14500.0,1
Data / Python,Junior,1,HYBRID,1.05,1,3,2,5,5,0,1.0,0,1.0,10400.0,-0.1333,1,12000.0,1
Frontend React,Senior,3,REMOTE,1.0,11,12,1,5,2,3,0.4,0,0.97,21800.0,0.2674,1,17200.0,0
Data / Python,Junior,1,ONSITE,1.1,0,3,3,5,5,0,1.0,3,1.0,13100.0,0.0738,1,12200.0,1
Frontend React,Senior,3,REMOTE,1.0,12,10,-2,5,0,5,0.0,1,0.97,11400.0,-0.2692,1,15600.0,0
Backend Node.js,Junior,1,HYBRID,1.05,1,1,0,5,1,4,0.2,2,0.99,6800.0,-0.2444,1,9000.0,0
DevOps / SRE,Pleno,2,REMOTE,1.0,4,4,0,5,3,2,0.6,1,1.12,17400.0,-0.0938,1,19200.0,1
Frontend React,Senior,3,HYBRID,1.05,9,12,3,5,5,0,1.0,1,0.97,15100.0,-0.2296,0,19600.0,1
Frontend React,Senior,3,HYBRID,1.05,9,12,3,5,2,3,0.4,0,0.97,22900.0,0.2053,1,19000.0,0
Data / Python,Pleno,2,REMOTE,1.0,4,5,1,5,4,1,0.8,1,1.0,14400.0,-0.1,0,16000.0,1
Machine Learning Eng.,Senior,3,HYBRID,1.05,9,9,0,5,4,1,0.8,4,1.2,29700.0,-0.0541,0,31400.0,1
Machine Learning Eng.,Pleno,2,HYBRID,1.05,3,3,0,5,3,2,0.6,3,1.2,19900.0,-0.0829,1,21700.0,1
Fullstack,Senior,3,REMOTE,1.0,7,5,-2,5,1,4,0.2,2,0.99,25600.0,0.2308,0,20800.0,0
Machine Learning Eng.,Pleno,2,REMOTE,1.0,4,4,0,5,1,4,0.2,3,1.2,22500.0,0.1307,1,19900.0,0
Frontend React,Junior,1,REMOTE,1.0,1,0,-1,5,1,4,0.2,3,0.97,7100.0,-0.1548,1,8400.0,0
Frontend React,Junior,1,ONSITE,1.1,0,0,0,5,0,5,0.0,1,0.97,9800.0,0.1529,1,8500.0,0
DevOps / SRE,Pleno,2,REMOTE,1.0,3,2,-1,5,3,2,0.6,4,1.12,23200.0,0.2473,1,18600.0,0
Fullstack,Senior,3,ONSITE,1.1,10,9,-1,5,5,0,1.0,3,0.99,19100.0,-0.2042,1,24000.0,1
Fullstack,Pleno,2,REMOTE,1.0,3,6,3,5,4,1,0.8,3,0.99,17000.0,0.2319,0,13800.0,1
Machine Learning Eng.,Junior,1,HYBRID,1.05,1,1,0,5,5,0,1.0,3,1.2,17800.0,0.1711,1,15200.0,1
Machine Learning Eng.,Pleno,2,REMOTE,1.0,4,7,3,5,4,1,0.8,0,1.2,20100.0,-0.0946,1,22200.0,1
Frontend React,Junior,1,ONSITE,1.1,0,2,2,5,3,2,0.6,1,0.97,8900.0,-0.022,1,9100.0,0
Machine Learning Eng.,Pleno,2,HYBRID,1.05,3,1,-2,5,0,5,0.0,1,1.2,20200.0,-0.0427,0,21100.0,0
DevOps / SRE,Senior,3,REMOTE,1.0,12,13,1,5,0,5,0.0,4,1.12,23400.0,0.013,1,23100.0,0
Machine Learning Eng.,Senior,3,REMOTE,1.0,7,6,-1,5,3,2,0.6,1,1.2,27900.0,0.0941,1,25500.0,0
Data / Python,Junior,1,HYBRID,1.05,0,0,0,5,1,4,0.2,0,1.0,10500.0,-0.1463,1,12300.0,0
Machine Learning Eng.,Senior,3,REMOTE,1.0,11,11,0,5,3,2,0.6,0,1.2,25000.0,-0.1694,0,30100.0,0
Backend Node.js,Senior,3,HYBRID,1.05,11,14,3,5,0,5,0.0,4,0.99,22100.0,0.0833,0,20400.0,0
Backend Node.js,Junior,1,HYBRID,1.05,2,4,2,5,1,4,0.2,0,0.99,8000.0,-0.0588,0,8500.0,0
Backend Node.js,Pleno,2,HYBRID,1.05,5,2,-3,5,1,4,0.2,1,0.99,11100.0,-0.2345,1,14500.0,0
Backend Node.js,Senior,3,ONSITE,1.1,10,13,3,5,3,2,0.6,2,0.99,14500.0,-0.2526,1,19400.0,1
DevOps / SRE,Senior,3,HYBRID,1.05,11,11,0,5,5,0,1.0,1,1.12,23800.0,-0.0667,1,25500.0,1
Data / Python,Senior,3,HYBRID,1.05,8,7,-1,5,4,1,0.8,3,1.0,27500.0,0.1752,1,23400.0,1
Backend Node.js,Pleno,2,REMOTE,1.0,4,1,-3,5,5,0,1.0,4,0.99,16500.0,0.0577,1,15600.0,1
Machine Learning Eng.,Pleno,2,HYBRID,1.05,3,1,-2,5,3,2,0.6,2,1.2,25200.0,0.0957,1,23000.0,0
Data / Python,Pleno,2,REMOTE,1.0,3,0,-3,5,0,5,0.0,3,1.0,15400.0,0.0,1,15400.0,0
Frontend React,Junior,1,ONSITE,1.1,1,3,2,5,3,2,0.6,1,0.97,8800.0,-0.0222,1,9000.0,1
Machine Learning Eng.,Senior,3,HYBRID,1.05,6,3,-3,5,4,1,0.8,0,1.2,24500.0,-0.1493,1,28800.0,0
Machine Learning Eng.,Junior,1,HYBRID,1.05,2,1,-1,5,3,2,0.6,4,1.2,12000.0,-0.1892,0,14800.0,1
Machine Learning Eng.,Pleno,2,REMOTE,1.0,4,6,2,5,1,4,0.2,4,1.2,18400.0,-0.0564,0,19500.0,0
Data / Python,Pleno,2,REMOTE,1.0,3,1,-2,5,0,5,0.0,1,1.0,17400.0,-0.0225,1,17800.0,0
Machine Learning Eng.,Junior,1,HYBRID,1.05,0,1,1,5,2,3,0.4,2,1.2,12600.0,-0.0735,1,13600.0,0
DevOps / SRE,Pleno,2,REMOTE,1.0,3,3,0,5,2,3,0.4,2,1.12,21000.0,0.1413,1,18400.0,0
Frontend React,Senior,3,HYBRID,1.05,11,11,0,5,2,3,0.4,0,0.97,17400.0,-0.1031,1,19400.0,0
Fullstack,Pleno,2,REMOTE,1.0,5,5,0,5,0,5,0.0,4,0.99,12500.0,-0.0942,1,13800.0,0
Frontend React,Junior,1,REMOTE,1.0,0,0,0,5,5,0,1.0,3,0.97,8600.0,-0.0444,1,9000.0,1
Data / Python,Junior,1,HYBRID,1.05,1,0,-1,5,2,3,0.4,1,1.0,10100.0,-0.0818,0,11000.0,0
Backend Node.js,Pleno,2,HYBRID,1.05,5,2,-3,5,3,2,0.6,4,0.99,11700.0,-0.2733,0,16100.0,1
Backend Node.js,Junior,1,REMOTE,1.0,1,0,-1,5,2,3,0.4,0,0.99,5800.0,-0.3409,1,8800.0,0
Backend Node.js,Junior,1,REMOTE,1.0,2,4,2,5,0,5,0.0,0,0.99,8200.0,-0.1183,1,9300.0,0
Frontend React,Senior,3,ONSITE,1.1,8,9,1,5,5,0,1.0,3,0.97,18800.0,-0.0739,0,20300.0,1
Machine Learning Eng.,Pleno,2,REMOTE,1.0,5,8,3,5,2,3,0.4,2,1.2,18800.0,-0.0784,1,20400.0,1
Data / Python,Junior,1,REMOTE,1.0,1,2,1,5,2,3,0.4,1,1.0,10100.0,0.0521,1,9600.0,0
DevOps / SRE,Junior,1,HYBRID,1.05,1,2,1,5,4,1,0.8,3,1.12,11200.0,-0.0667,1,12000.0,1
DevOps / SRE,Senior,3,REMOTE,1.0,7,9,2,5,3,2,0.6,2,1.12,23300.0,-0.0827,0,25400.0,1
Frontend React,Junior,1,ONSITE,1.1,2,0,-2,5,2,3,0.4,1,0.97,8000.0,-0.1579,1,9500.0,0
Frontend React,Senior,3,HYBRID,1.05,10,9,-1,5,1,4,0.2,4,0.97,13300.0,-0.2036,1,16700.0,0
DevOps / SRE,Senior,3,HYBRID,1.05,10,12,2,5,3,2,0.6,3,1.12,11900.0,-0.537,1,25700.0,1
Frontend React,Junior,1,ONSITE,1.1,1,2,1,5,0,5,0.0,1,0.97,7600.0,-0.2165,0,9700.0,0
DevOps / SRE,Senior,3,ONSITE,1.1,6,3,-3,5,1,4,0.2,3,1.12,43300.0,0.3878,1,31200.0,0
Frontend React,Senior,3,ONSITE,1.1,8,7,-1,5,3,2,0.6,0,0.97,19400.0,0.096,1,17700.0,0
Machine Learning Eng.,Junior,1,REMOTE,1.0,0,0,0,5,2,3,0.4,2,1.2,9800.0,-0.2462,1,13000.0,0
Frontend React,Pleno,2,HYBRID,1.05,5,4,-1,5,2,3,0.4,0,0.97,9800.0,-0.2344,1,12800.0,0
Data / Python,Junior,1,ONSITE,1.1,2,4,2,5,5,0,1.0,4,1.0,11000.0,-0.127,1,12600.0,1
Data / Python,Pleno,2,REMOTE,1.0,4,1,-3,5,3,2,0.6,0,1.0,20000.0,0.1494,1,17400.0,0
Backend Node.js,Pleno,2,HYBRID,1.05,5,2,-3,5,2,3,0.4,1,0.99,15600.0,0.0685,0,14600.0,0
Frontend React,Senior,3,HYBRID,1.05,12,11,-1,5,2,3,0.4,3,0.97,17800.0,0.0471,1,17000.0,0
Fullstack,Senior,3,HYBRID,1.05,10,9,-1,5,4,1,0.8,0,0.99,22200.0,0.0374,1,21400.0,0
Machine Learning Eng.,Senior,3,HYBRID,1.05,7,10,3,5,4,1,0.8,4,1.2,38900.0,0.2881,1,30200.0,1
DevOps / SRE,Senior,3,HYBRID,1.05,9,12,3,5,3,2,0.6,3,1.12,24300.0,-0.1873,0,29900.0,1
Fullstack,Senior,3,HYBRID,1.05,12,14,2,5,0,5,0.0,2,0.99,26900.0,0.2283,1,21900.0,0
Backend Node.js,Pleno,2,ONSITE,1.1,3,2,-1,5,2,3,0.4,2,0.99,14100.0,0.0144,1,13900.0,0
DevOps / SRE,Pleno,2,HYBRID,1.05,5,6,1,5,5,0,1.0,0,1.12,20700.0,0.0725,0,19300.0,1
Fullstack,Pleno,2,REMOTE,1.0,5,2,-3,5,5,0,1.0,4,0.99,14000.0,-0.0411,1,14600.0,1
Backend Node.js,Junior,1,ONSITE,1.1,2,5,3,5,4,1,0.8,4,0.99,5900.0,-0.404,0,9900.0,1
DevOps / SRE,Pleno,2,HYBRID,1.05,3,3,0,5,4,1,0.8,2,1.12,16400.0,-0.1414,0,19100.0,1
Frontend React,Senior,3,REMOTE,1.0,11,11,0,5,3,2,0.6,0,0.97,8900.0,-0.5291,0,18900.0,1
Data / Python,Pleno,2,REMOTE,1.0,4,2,-2,5,1,4,0.2,0,1.0,11300.0,-0.2848,0,15800.0,0
DevOps / SRE,Junior,1,REMOTE,1.0,0,2,2,5,3,2,0.6,4,1.12,12900.0,-0.0373,0,13400.0,1
Backend Node.js,Junior,1,REMOTE,1.0,1,4,3,5,0,5,0.0,4,0.99,8800.0,-0.0737,1,9500.0,0
Data / Python,Pleno,2,ONSITE,1.1,3,5,2,5,5,0,1.0,1,1.0,17000.0,-0.0909,1,18700.0,1
Frontend React,Junior,1,REMOTE,1.0,2,1,-1,5,0,5,0.0,0,0.97,9400.0,0.1325,0,8300.0,0
Frontend React,Pleno,2,REMOTE,1.0,4,3,-1,5,4,1,0.8,3,0.97,8900.0,-0.3101,0,12900.0,1
Frontend React,Junior,1,ONSITE,1.1,2,0,-2,5,4,1,0.8,3,0.97,9100.0,0.0581,1,8600.0,1
Fullstack,Pleno,2,ONSITE,1.1,4,5,1,5,3,2,0.6,1,0.99,18800.0,0.2051,1,15600.0,0
Frontend React,Senior,3,ONSITE,1.1,8,10,2,5,1,4,0.2,0,0.97,15000.0,-0.1848,1,18400.0,0
Machine Learning Eng.,Junior,1,HYBRID,1.05,1,2,1,5,0,5,0.0,2,1.2,11700.0,-0.1269,1,13400.0,0
DevOps / SRE,Senior,3,HYBRID,1.05,10,11,1,5,5,0,1.0,4,1.12,26700.0,0.0854,0,24600.0,1
Data / Python,Senior,3,ONSITE,1.1,9,8,-1,5,5,0,1.0,0,1.0,21500.0,-0.1794,1,26200.0,0
Machine Learning Eng.,Senior,3,REMOTE,1.0,11,8,-3,5,2,3,0.4,2,1.2,20300.0,-0.275,0,28000.0,0
Frontend React,Senior,3,ONSITE,1.1,8,10,2,5,1,4,0.2,0,0.97,11100.0,-0.3867,1,18100.0,0
Backend Node.js,Senior,3,ONSITE,1.1,8,9,1,5,2,3,0.4,4,0.99,18000.0,-0.2469,1,23900.0,0
Backend Node.js,Senior,3,HYBRID,1.05,6,6,0,5,3,2,0.6,0,0.99,20100.0,0.0749,0,18700.0,0
Data / Python,Pleno,2,REMOTE,1.0,3,2,-1,5,5,0,1.0,2,1.0,11000.0,-0.3413,1,16700.0,1
Fullstack,Senior,3,HYBRID,1.05,7,6,-1,5,1,4,0.2,3,0.99,20500.0,-0.0238,1,21000.0,0
DevOps / SRE,Pleno,2,REMOTE,1.0,5,4,-1,5,5,0,1.0,1,1.12,17200.0,-0.0444,0,18000.0,1
Data / Python,Pleno,2,HYBRID,1.05,4,7,3,5,5,0,1.0,3,1.0,18400.0,0.0514,1,17500.0,1
DevOps / SRE,Senior,3,ONSITE,1.1,11,11,0,5,1,4,0.2,1,1.12,25800.0,-0.1254,1,29500.0,0
Machine Learning Eng.,Senior,3,ONSITE,1.1,6,4,-2,5,0,5,0.0,4,1.2,40400.0,0.2665,1,31900.0,0
Fullstack,Junior,1,HYBRID,1.05,1,1,0,5,3,2,0.6,4,0.99,10000.0,-0.1736,1,12100.0,1
Frontend React,Senior,3,ONSITE,1.1,10,11,1,5,4,1,0.8,4,0.97,18600.0,-0.1143,1,21000.0,1
Frontend React,Pleno,2,HYBRID,1.05,5,8,3,5,1,4,0.2,1,0.97,15600.0,0.1729,1,13300.0,0
Frontend React,Senior,3,HYBRID,1.05,12,15,3,5,4,1,0.8,1,0.97,12100.0,-0.3529,0,18700.0,1
Frontend React,Junior,1,REMOTE,1.0,2,1,-1,5,1,4,0.2,0,0.97,7700.0,0.0132,1,7600.0,0
Backend Node.js,Senior,3,REMOTE,1.0,6,3,-3,5,4,1,0.8,4,0.99,14800.0,-0.2292,1,19200.0,1
Machine Learning Eng.,Junior,1,ONSITE,1.1,0,0,0,5,3,2,0.6,0,1.2,14500.0,0.0584,1,13700.0,0
Fullstack,Pleno,2,ONSITE,1.1,3,0,-3,5,2,3,0.4,0,0.99,14700.0,-0.1453,1,17200.0,0
Machine Learning Eng.,Pleno,2,REMOTE,1.0,4,7,3,5,4,1,0.8,0,1.2,13300.0,-0.3,1,19000.0,1
Fullstack,Junior,1,HYBRID,1.05,1,0,-1,5,4,1,0.8,0,0.99,10500.0,0.0606,1,9900.0,0
Frontend React,Pleno,2,HYBRID,1.05,3,0,-3,5,5,0,1.0,4,0.97,13900.0,0.0072,0,13800.0,1
DevOps / SRE,Pleno,2,ONSITE,1.1,3,0,-3,5,3,2,0.6,0,1.12,15300.0,-0.1404,0,17800.0,0
Backend Node.js,Junior,1,ONSITE,1.1,1,0,-1,5,2,3,0.4,1,0.99,9100.0,-0.125,0,10400.0,0
DevOps / SRE,Pleno,2,HYBRID,1.05,5,7,2,5,1,4,0.2,0,1.12,16800.0,-0.1472,0,19700.0,0
Fullstack,Junior,1,ONSITE,1.1,2,5,3,5,3,2,0.6,0,0.99,12800.0,0.1034,1,11600.0,1
Data / Python,Pleno,2,HYBRID,1.05,4,1,-3,5,5,0,1.0,2,1.0,12000.0,-0.25,1,16000.0,1
Backend Node.js,Junior,1,ONSITE,1.1,0,3,3,5,5,0,1.0,3,0.99,8300.0,-0.0674,1,8900.0,1
DevOps / SRE,Junior,1,ONSITE,1.1,1,2,1,5,0,5,0.0,3,1.12,9100.0,-0.2155,1,11600.0,0
Machine Learning Eng.,Senior,3,REMOTE,1.0,11,14,3,5,3,2,0.6,0,1.2,33000.0,0.2791,1,25800.0,1
DevOps / SRE,Junior,1,REMOTE,1.0,0,0,0,5,0,5,0.0,3,1.12,6900.0,-0.2887,1,9700.0,0
Machine Learning Eng.,Senior,3,ONSITE,1.1,12,15,3,5,4,1,0.8,2,1.2,23600.0,-0.1806,1,28800.0,1
Backend Node.js,Pleno,2,ONSITE,1.1,5,4,-1,5,4,1,0.8,3,0.99,14100.0,-0.1557,1,16700.0,1
Frontend React,Pleno,2,REMOTE,1.0,3,3,0,5,2,3,0.4,2,0.97,11500.0,-0.1544,1,13600.0,0
Fullstack,Pleno,2,REMOTE,1.0,4,5,1,5,3,2,0.6,0,0.99,14800.0,0.0496,0,14100.0,1
Machine Learning Eng.,Pleno,2,ONSITE,1.1,3,3,0,5,4,1,0.8,2,1.2,22000.0,-0.0909,0,24200.0,1
Machine Learning Eng.,Junior,1,REMOTE,1.0,2,4,2,5,3,2,0.6,1,1.2,11100.0,-0.126,1,12700.0,0
Backend Node.js,Pleno,2,REMOTE,1.0,5,5,0,5,4,1,0.8,2,0.99,11500.0,-0.1353,1,13300.0,1
DevOps / SRE,Pleno,2,HYBRID,1.05,3,4,1,5,2,3,0.4,4,1.12,20200.0,0.0978,1,18400.0,1
Data / Python,Senior,3,REMOTE,1.0,9,11,2,5,0,5,0.0,2,1.0,19900.0,-0.0386,0,20700.0,0
Data / Python,Pleno,2,REMOTE,1.0,4,2,-2,5,3,2,0.6,1,1.0,12800.0,-0.2727,0,17600.0,0
Fullstack,Pleno,2,REMOTE,1.0,5,8,3,5,4,1,0.8,3,0.99,12200.0,-0.0687,0,13100.0,1
Machine Learning Eng.,Junior,1,ONSITE,1.1,1,4,3,5,1,4,0.2,1,1.2,15000.0,0.0714,1,14000.0,0
Machine Learning Eng.,Junior,1,REMOTE,1.0,0,1,1,5,1,4,0.2,2,1.2,13000.0,0.0317,1,12600.0,0
Data / Python,Senior,3,REMOTE,1.0,6,5,-1,5,3,2,0.6,0,1.0,12400.0,-0.3861,1,20200.0,0
Data / Python,Senior,3,REMOTE,1.0,12,11,-1,5,0,5,0.0,4,1.0,20700.0,-0.08,0,22500.0,0
Data / Python,Junior,1,REMOTE,1.0,1,4,3,5,0,5,0.0,2,1.0,7800.0,-0.1789,1,9500.0,0
Backend Node.js,Junior,1,ONSITE,1.1,2,4,2,5,5,0,1.0,4,0.99,8200.0,-0.2115,1,10400.0,1
DevOps / SRE,Senior,3,REMOTE,1.0,11,10,-1,5,4,1,0.8,2,1.12,12700.0,-0.365,0,20000.0,1
DevOps / SRE,Pleno,2,HYBRID,1.05,4,6,2,5,5,0,1.0,2,1.12,11800.0,-0.3099,1,17100.0,1
Machine Learning Eng.,Pleno,2,ONSITE,1.1,5,4,-1,5,3,2,0.6,2,1.2,11400.0,-0.4412,1,20400.0,1
Data / Python,Pleno,2,REMOTE,1.0,4,4,0,5,3,2,0.6,2,1.0,17300.0,0.1457,0,15100.0,1
Frontend React,Junior,1,REMOTE,1.0,2,5,3,5,4,1,0.8,3,0.97,8500.0,0.2143,0,7000.0,1
Backend Node.js,Junior,1,REMOTE,1.0,1,4,3,5,5,0,1.0,2,0.99,9900.0,0.1,0,9000.0,1
Backend Node.js,Senior,3,REMOTE,1.0,11,10,-1,5,0,5,0.0,3,0.99,21800.0,0.172,1,18600.0,0
Frontend React,Junior,1,HYBRID,1.05,1,1,0,5,2,3,0.4,3,0.97,3400.0,-0.5952,1,8400.0,1
DevOps / SRE,Pleno,2,HYBRID,1.05,4,7,3,5,1,4,0.2,2,1.12,16900.0,-0.0865,0,18500.0,0
DevOps / SRE,Senior,3,HYBRID,1.05,9,8,-1,5,4,1,0.8,3,1.12,21800.0,-0.1484,1,25600.0,1
DevOps / SRE,Pleno,2,REMOTE,1.0,5,4,-1,5,1,4,0.2,1,1.12,12600.0,-0.1923,1,15600.0,0
Data / Python,Junior,1,HYBRID,1.05,0,1,1,5,5,0,1.0,2,1.0,11900.0,0.0171,1,11700.0,1
Frontend React,Senior,3,REMOTE,1.0,8,5,-3,5,1,4,0.2,0,0.97,21900.0,0.2586,0,17400.0,0
DevOps / SRE,Pleno,2,HYBRID,1.05,3,1,-2,5,5,0,1.0,1,1.12,15000.0,-0.2268,1,19400.0,1
Data / Python,Pleno,2,HYBRID,1.05,3,3,0,5,0,5,0.0,4,1.0,20400.0,0.0851,1,18800.0,0
Frontend React,Junior,1,HYBRID,1.05,1,2,1,5,3,2,0.6,3,0.97,7900.0,-0.1413,1,9200.0,1
DevOps / SRE,Pleno,2,HYBRID,1.05,5,2,-3,5,5,0,1.0,2,1.12,19200.0,0.0492,1,18300.0,1
Data / Python,Pleno,2,ONSITE,1.1,5,4,-1,5,4,1,0.8,0,1.0,20300.0,0.1469,1,17700.0,1
Machine Learning Eng.,Junior,1,REMOTE,1.0,2,1,-1,5,1,4,0.2,4,1.2,9000.0,-0.2623,0,12200.0,0
DevOps / SRE,Senior,3,ONSITE,1.1,6,5,-1,5,2,3,0.4,1,1.12,20000.0,-0.2453,1,26500.0,0
Fullstack,Pleno,2,REMOTE,1.0,5,7,2,5,0,5,0.0,2,0.99,17400.0,0.0875,1,16000.0,0
Machine Learning Eng.,Junior,1,ONSITE,1.1,0,0,0,5,5,0,1.0,3,1.2,16400.0,0.1884,1,13800.0,1
Fullstack,Pleno,2,ONSITE,1.1,3,3,0,5,4,1,0.8,4,0.99,10500.0,-0.3558,1,16300.0,1
Frontend React,Senior,3,HYBRID,1.05,10,13,3,5,3,2,0.6,2,0.97,19700.0,0.0707,0,18400.0,1
Frontend React,Senior,3,REMOTE,1.0,10,11,1,5,2,3,0.4,2,0.97,9000.0,-0.4479,1,16300.0,1
Machine Learning Eng.,Senior,3,ONSITE,1.1,8,5,-3,5,5,0,1.0,0,1.2,25400.0,-0.0451,1,26600.0,0
Machine Learning Eng.,Junior,1,REMOTE,1.0,2,4,2,5,3,2,0.6,1,1.2,13200.0,0.1186,1,11800.0,1
Fullstack,Junior,1,ONSITE,1.1,2,4,2,5,3,2,0.6,3,0.99,9300.0,-0.0882,1,10200.0,1
Frontend React,Senior,3,ONSITE,1.1,10,8,-2,5,0,5,0.0,4,0.97,12600.0,-0.3854,1,20500.0,0
Backend Node.js,Pleno,2,ONSITE,1.1,3,2,-1,5,3,2,0.6,0,0.99,17000.0,0.0828,1,15700.0,0
Fullstack,Junior,1,REMOTE,1.0,1,4,3,5,2,3,0.4,2,0.99,4800.0,-0.4894,1,9400.0,1
Fullstack,Pleno,2,HYBRID,1.05,4,7,3,5,4,1,0.8,3,0.99,11900.0,-0.1793,0,14500.0,1
Frontend React,Pleno,2,ONSITE,1.1,5,8,3,5,0,5,0.0,1,0.97,13800.0,-0.0213,1,14100.0,0
Data / Python,Senior,3,ONSITE,1.1,12,11,-1,5,5,0,1.0,3,1.0,18800.0,-0.2231,1,24200.0,1
Backend Node.js,Junior,1,REMOTE,1.0,0,1,1,5,1,4,0.2,1,0.99,7400.0,-0.1591,1,8800.0,0
Fullstack,Junior,1,HYBRID,1.05,0,2,2,5,0,5,0.0,1,0.99,7200.0,-0.28,1,10000.0,0
Machine Learning Eng.,Senior,3,REMOTE,1.0,8,11,3,5,4,1,0.8,2,1.2,27100.0,-0.0109,1,27400.0,1
Machine Learning Eng.,Junior,1,REMOTE,1.0,2,3,1,5,0,5,0.0,4,1.2,14600.0,0.2066,1,12100.0,0
Machine Learning Eng.,Senior,3,REMOTE,1.0,10,11,1,5,1,4,0.2,4,1.2,24500.0,-0.0926,0,27000.0,0
DevOps / SRE,Senior,3,REMOTE,1.0,11,11,0,5,2,3,0.4,2,1.12,21100.0,-0.0826,0,23000.0,0
Fullstack,Senior,3,ONSITE,1.1,9,12,3,5,2,3,0.4,0,0.99,19600.0,-0.1327,0,22600.0,0
Fullstack,Junior,1,ONSITE,1.1,2,1,-1,5,5,0,1.0,0,0.99,10300.0,0.051,1,9800.0,1
Data / Python,Pleno,2,REMOTE,1.0,4,1,-3,5,1,4,0.2,2,1.0,16600.0,-0.0292,1,17100.0,0
Data / Python,Junior,1,HYBRID,1.05,2,2,0,5,3,2,0.6,4,1.0,11900.0,0.0348,1,11500.0,1
Fullstack,Pleno,2,HYBRID,1.05,3,1,-2,5,4,1,0.8,1,0.99,15400.0,-0.125,1,17600.0,1
Data / Python,Senior,3,ONSITE,1.1,8,10,2,5,4,1,0.8,2,1.0,25300.0,-0.0489,0,26600.0,1
Machine Learning Eng.,Junior,1,ONSITE,1.1,1,0,-1,5,0,5,0.0,2,1.2,15100.0,0.0203,0,14800.0,0
Frontend React,Senior,3,REMOTE,1.0,11,11,0,5,1,4,0.2,1,0.97,16800.0,-0.1845,1,20600.0,0
Data / Python,Senior,3,ONSITE,1.1,11,8,-3,5,0,5,0.0,2,1.0,20100.0,-0.1145,0,22700.0,0
DevOps / SRE,Junior,1,REMOTE,1.0,1,1,0,5,1,4,0.2,3,1.12,11300.0,-0.0813,1,12300.0,0
Data / Python,Senior,3,REMOTE,1.0,6,6,0,5,5,0,1.0,0,1.0,20900.0,-0.0369,1,21700.0,1
DevOps / SRE,Senior,3,REMOTE,1.0,10,11,1,5,1,4,0.2,3,1.12,21300.0,-0.0491,0,22400.0,0
Machine Learning Eng.,Junior,1,HYBRID,1.05,1,3,2,5,0,5,0.0,1,1.2,11400.0,-0.088,0,12500.0,0
Backend Node.js,Junior,1,HYBRID,1.05,2,2,0,5,0,5,0.0,1,0.99,10000.0,0.087,1,9200.0,0
Frontend React,Senior,3,ONSITE,1.1,6,8,2,5,2,3,0.4,4,0.97,15500.0,-0.2476,1,20600.0,1
DevOps / SRE,Junior,1,ONSITE,1.1,2,1,-1,5,5,0,1.0,1,1.12,14000.0,-0.0476,1,14700.0,1
Fullstack,Senior,3,ONSITE,1.1,7,8,1,5,5,0,1.0,4,0.99,20500.0,0.0099,0,20300.0,1
Fullstack,Junior,1,HYBRID,1.05,0,0,0,5,0,5,0.0,0,0.99,7400.0,-0.3084,1,10700.0,0
Fullstack,Pleno,2,ONSITE,1.1,3,6,3,5,2,3,0.4,1,0.99,13100.0,-0.1208,1,14900.0,0
Machine Learning Eng.,Junior,1,ONSITE,1.1,1,2,1,5,3,2,0.6,4,1.2,16500.0,0.2044,1,13700.0,1
Machine Learning Eng.,Pleno,2,REMOTE,1.0,4,3,-1,5,1,4,0.2,1,1.2,19600.0,-0.0968,0,21700.0,0
Fullstack,Junior,1,ONSITE,1.1,1,2,1,5,5,0,1.0,3,0.99,8100.0,-0.2059,1,10200.0,1
Data / Python,Junior,1,ONSITE,1.1,2,1,-1,5,1,4,0.2,2,1.0,9500.0,-0.1667,1,11400.0,0
Frontend React,Pleno,2,ONSITE,1.1,4,6,2,5,5,0,1.0,2,0.97,12400.0,-0.0949,1,13700.0,1
DevOps / SRE,Junior,1,REMOTE,1.0,0,0,0,5,5,0,1.0,3,1.12,11300.0,-0.0259,0,11600.0,1
Backend Node.js,Senior,3,ONSITE,1.1,11,8,-3,5,1,4,0.2,0,0.99,28300.0,0.2198,1,23200.0,0
Fullstack,Senior,3,REMOTE,1.0,12,10,-2,5,2,3,0.4,1,0.99,21200.0,-0.0275,1,21800.0,0
Backend Node.js,Senior,3,HYBRID,1.05,9,12,3,5,3,2,0.6,4,0.99,27000.0,0.2442,0,21700.0,1
DevOps / SRE,Senior,3,HYBRID,1.05,11,9,-2,5,0,5,0.0,4,1.12,19400.0,-0.2271,0,25100.0,0
